symbol,symbol_era_id,resolution_status,resolution_disposition,evidence_tier,research_route,instrument_type,historical_issuer_name,event_type,event_date,successor,primary_source_url,secondary_source_url,source_note,resolver
ONTXW,ONTXW#006,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root ONTX,warrant_unit_right_terminal_action,20170714,,local:parent-root-current-evidence,,Local terminal disposition: ONTXW linked to parent/root symbol ONTX with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ONTXW,ONTXW#008,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root ONTX,warrant_unit_right_terminal_action,20170925,,local:parent-root-current-evidence,,Local terminal disposition: ONTXW linked to parent/root symbol ONTX with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ONTXW,ONTXW#007,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root ONTX,warrant_unit_right_terminal_action,20170826,,local:parent-root-current-evidence,,Local terminal disposition: ONTXW linked to parent/root symbol ONTX with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ONTXW,ONTXW#003,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root ONTX,warrant_unit_right_terminal_action,20170413,,local:parent-root-current-evidence,,Local terminal disposition: ONTXW linked to parent/root symbol ONTX with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ONTXW,ONTXW#009,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root ONTX,warrant_unit_right_terminal_action,20210723,,local:parent-root-current-evidence,,Local terminal disposition: ONTXW linked to parent/root symbol ONTX with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ONTXW,ONTXW#005,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root ONTX,warrant_unit_right_terminal_action,20170619,,local:parent-root-current-evidence,,Local terminal disposition: ONTXW linked to parent/root symbol ONTX with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ONTXW,ONTXW#002,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root ONTX,warrant_unit_right_terminal_action,20170306,,local:parent-root-current-evidence,,Local terminal disposition: ONTXW linked to parent/root symbol ONTX with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ONTXW,ONTXW#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root ONTX,warrant_unit_right_terminal_action,20170213,,local:parent-root-current-evidence,,Local terminal disposition: ONTXW linked to parent/root symbol ONTX with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
ONTXW,ONTXW#004,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root ONTX,warrant_unit_right_terminal_action,20170516,,local:parent-root-current-evidence,,Local terminal disposition: ONTXW linked to parent/root symbol ONTX with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
OPALW,OPALW#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root OPAL,warrant_unit_right_terminal_action,20221221,,local:parent-root-current-evidence,,Local terminal disposition: OPALW linked to parent/root symbol OPAL with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
